"Headline","Publisher","Date"
"Euthanasia: Safeguards against coercion inserted into David Seymour's proposed bill","Stuff.co.nz","2019-08-22"
"Euthanasia bill should be dumped says Disability Rights Commissioner","TVNZ","2019-08-22"
"End of Life Choice Bill: MPs debate concerns over coercion","Newshub","2019-08-22"
"The euthanasia bill is back in Parliament - here's what to expect","Stuff.co.nz","2019-08-22"
"Invercargill service station targeted twice in five days","Otago Daily Times","2019-08-22"
"Multiple robberies at Invercargill service station","Stuff.co.nz","2019-08-22"
"Invercargill BP target of two aggravated robberies in one week","TVNZ","2019-08-22"
"Manurewa teen Chloe Mears missing for four days found","New Zealand Herald","2019-08-22"
"Missing south Auckland teenager found safe and well","Stuff.co.nz","2019-08-22"
"Auckland teenager missing since Sunday","RNZ","2019-08-22"
"Man charged with arson after two fires in Central Otago","Stuff.co.nz","2019-08-22"
"Ihumatao: London street artists show solidarity with protesters","Stuff.co.nz","2019-08-22"
"State Highway 2 reopens after chemical truck crash","New Zealand Herald","2019-08-22"
"Simple, cheap test saving lives in NZ. So, why are some babies not getting it?","New Zealand Herald","2019-08-22"
"'Lazy little bugger': Mum fined over wagging son speaks","Otago Daily Times","2019-08-22"
"Mum fined $50 for truant teen: 'He's a lazy little bugger and I can't do anything'","Stuff.co.nz","2019-08-22"
"Parents fined over son wagging school","Otago Daily Times","2019-08-22"
"Parents fined for son wagging school: 'He's just a lazy little bugger,' says mum","New Zealand Herald","2019-08-22"
"Christchurch woman jailed for stealing plaques from war veterans' graves to fund drug addiction","TVNZ","2019-08-22"
"Christchurch woman jailed 26 months for stealing veteran plaques","Stuff.co.nz","2019-08-22"
"Jail for woman who stole old soldiers' plaques from Springston Cemetery","New Zealand Herald","2019-08-22"
"Jail time for woman who stole RSA memorial plaques to sell for drug money","Newshub","2019-08-22"
"Ngapuhi elder shocked by 'medieval' conditions at Ngawha Prison","Stuff.co.nz","2019-08-22"
"Ngapuhi elder 'shocked' by conditions at Ngawha Prison","New Zealand Herald","2019-08-22"
"Ngawha Prison inmates denied water, forced to relieve selves in exercise yard, Ngapuhi elder alleges","TVNZ","2019-08-22"
"Wellington public react to 'terrifying' and 'gross' sculpture Quasi","Stuff.co.nz","2019-08-22"
"Wellington Quasi hand sculpture","RNZ","2019-08-22"
"Wellington: Confused locals divided over ‘shocker’ rooftop sculpture in NZ city","NEWS.com.au","2019-08-22"
"Monstrous hand installation, Quasi, moved from Christchurch Art Gallery to Wellington","TVNZ","2019-08-22"
"'Nightmare' hand sculpture arrives in Wellington, horrifies locals","Newshub","2019-08-22"
"Super Fund hangs out its shingle","New Zealand Herald","2019-08-22"
"Fran O'Sullivan: Infrastructure role will take every ounce of Alan Bollard's steel","New Zealand Herald","2019-08-22"
"New NZ Infrastructure Commission board announced in Rotorua","New Zealand Herald","2019-08-22"
"Time to change our regional incentives","New Zealand Herald","2019-08-22"
"Grant Robertson: Investing for New Zealand","New Zealand Herald","2019-08-22"
"Sky TV ordered to pay $4000 for broadcasting 'highly disturbing' Christchurch attack livestream footage","Newshub","2019-08-22"
"Sky News NZ breached broadcasting standards with its clips from the terrorist shooter","Stuff.co.nz","2019-08-22"
"Sky TV's terror attack coverage breached rules","Otago Daily Times","2019-08-22"
"Sky Television NZ fined for use of Christchurch terrorist attack video","TVNZ","2019-08-22"
"Sky TV breached broadcasting standards over mosque terror attack coverage, pinged for $4000","New Zealand Herald","2019-08-22"
"Primary principals accept Government offer","Stuff.co.nz","2019-08-22"
"Man arrested in Australia over Queenstown stabbing","Otago Daily Times","2019-08-22"
"Queenstown stabbing: Suspect escaped NZ, caught entering Australia","New Zealand Herald","2019-08-22"
"Man wanted after Queenstown stabbings detained entering Australia","RNZ","2019-08-22"
"Flight takes scenic detour before landing in Dunedin","Otago Daily Times","2019-08-22"
"Otago man wanted in relation to Queenstown stabbing arrested trying to enter Australia","TVNZ","2019-08-22"
"Wellsford fire under control, after it forced evacuation of school","Stuff.co.nz","2019-08-22"
"Wellington Regional Council declares climate emergency and goal to be carbon neutral by 2030","Stuff.co.nz","2019-08-22"
"Mike Hosking: TVNZ's in trouble and they should blame their own bad decisions, not Google","New Zealand Herald","2019-08-22"
"Plot thickens for TVNZ as a $17.1 million loss looms","Stuff.co.nz","2019-08-22"
"Mike's Minute: TVNZ's in trouble - blame yourselves, not Google","Newstalk ZB","2019-08-22"
"Power outage hits Mairangi Bay on Auckland's North Shore","New Zealand Herald","2019-08-22"
"Power outage in Auckland's Mairangi Bay","Newshub","2019-08-22"
"Power cut caused by bad weather at Mairangi Bay on Auckland's North Shore","Stuff.co.nz","2019-08-22"
"Prime Minister Jacinda Ardern won't visit Ihumatao ahead of march","New Zealand Herald","2019-08-22"
"Police 'neglect of duty' led to unlawful search of Nicky Hager's home — IPCA","Stuff.co.nz","2019-08-22"
"Surprise, surprise – the bloody pigs clear themselves over illegal Hager raid","thedailyblog.co.nz","2019-08-22"
