"Headline","Publisher","Date"
"'Startling' number of yellow-eyed penguins being caught in commercial fishing nets - Forest and Bird","Stuff.co.nz","2019-08-22"
"Increase in hoiho caught in fishing nets","Otago Daily Times","2019-08-22"
"Yellow eyed penguins under threat from fishing nets Forest & Bird","RNZ","2019-08-22"
"Why World Rugby has dropped the 'women's World Cup'","New Zealand Herald","2019-08-22"
"What technology do you need to watch the Rugby World Cup?","Stuff.co.nz","2019-08-22"
"Government to introduce bill allowing bars to stay open outside normal hours for Rugby World Cup","TVNZ","2019-08-22"
"Report reveals the size of Spark's sports rights splurge","New Zealand Herald","2019-08-22"
"Rugby World Cup: Inactive All Blacks could drop to No 3 in rugby rankings","Stuff.co.nz","2019-08-22"
"Trump quotes radio host claiming Israelis 'love him like he's the King of Israel'","Stuff.co.nz","2019-08-22"
"Any Jewish-American voting Democratic is uninformed or disloyal, Trump says","TVNZ","2019-08-22"
"Trump says Jews disloyal if they vote for Democrats","CNN","2019-08-22"
"Jew-baiting is part of the Trump playbook. It's a feature, not a bug","The Guardian","2019-08-22"
"There is nothing more cynical than Trump calling Jews who vote Democrat 'disloyal'","The Independent","2019-08-22"
"US hailstorm slaughters 11000 birds in Montana park","Stuff.co.nz","2019-08-22"
"Pauline Hanson says Jacinda Ardern 'rightfully put in her place' by Alan Jones","TVNZ","2019-08-22"
"Jacinda Ardern 'put in her place' by Alan Jones - Pauline Hanson","Newshub","2019-08-22"
"Alan Jones quizzed over slurs against Jacinda Ardern: 'You had better ask a woman that' – video","The Guardian","2019-08-22"
"Aussie broadcaster Alan Jones claims victimhood after Ardern insult causes internet backlash","TVNZ","2019-08-22"
"Alan Jones's radio future will be decided by advertisers, not outrage","ABC News","2019-08-22"
"Massey University accused of mishandling allegations of a violent sexual assault","Stuff.co.nz","2019-08-22"
"Key official responsible for KiwiBuild programme to leave on eve of policy reset","New Zealand Herald","2019-08-22"
"As KiwiBuild loses another top boss, National lambastes programme as a 'sinking ship'","TVNZ","2019-08-22"
"KiwiBuild's head of delivery Helen O'Sullivan stepping down","Newshub","2019-08-22"
"Head of KiwiBuild programme leaving","Otago Daily Times","2019-08-22"
"Amazon rainforest's fires can be seen from space","Stuff.co.nz","2019-08-22"
"Brazilian President Jair Bolsonaro vows to develop rainforest as Sao Paulo's skies turn dark","New Zealand Herald","2019-08-22"
"Amazon rainforest fires: Bolsonaro accuses upset NGOs of burning it down","Newshub","2019-08-22"
"Amazon rainforest fires: How big is Amazon rainforest? How much of the rainforest is left?","Express.co.uk","2019-08-22"
"Spike in wildfires in Brazil's Amazon rainforest - BBC News","BBC News","2019-08-22"
"Iwi leader praises new Maori prison plan but says wider problem of racism needs to be fixed","Stuff.co.nz","2019-08-22"
"Alan Jones team threatens Media Watch with complaint after airing 2GB audio","Stuff.co.nz","2019-08-22"
"Euthanasia: Safeguards against coercion inserted into David Seymour's proposed bill","Stuff.co.nz","2019-08-22"
"Euthanasia bill should be dumped says Disability Rights Commissioner","TVNZ","2019-08-22"
"End of Life Choice Bill: MPs debate concerns over coercion","Newshub","2019-08-22"
"The euthanasia bill is back in Parliament - here's what to expect","Stuff.co.nz","2019-08-22"
"Fletcher Building turnaround gets lukewarm response as investors look for better economic conditions","New Zealand Herald","2019-08-22"
"Fletcher Building back in the black - quiet on Ihumatao","Stuff.co.nz","2019-08-22"
"Cheat Sheet: Fletcher Building unveils huge profit amid Ihumatao outcry","Newshub","2019-08-22"
"Fletcher Building posts $164m full year profit","RNZ","2019-08-22"
"Future looking brighter for Fletcher Building, just one year after predicting $1 billion loss","TVNZ","2019-08-22"
"Otago scientists soon to reveal Loch Ness findings","New Zealand Herald","2019-08-22"
"Fuel market not as competitive as it could be - Commerce Commission","RNZ","2019-08-22"
"Christchurch motorists support Jacinda Ardern's 'fleeced at the pump' call","Stuff.co.nz","2019-08-22"
"Claire Trevett: Taxes and profits - who's fleecing who in petrol price debate?","New Zealand Herald","2019-08-22"
"Heather du Plessis-Allan: Government should avoid starting fight over petrol prices","Newstalk ZB","2019-08-22"
"David Chaston calls out the PM for a populist outburst that isn't backed up by the facts at the petrol pump. The largest cost component of fuel is tax now taking almost half the discounted price paid","Interest.co.nz","2019-08-22"
"Invercargill service station targeted twice in five days","Otago Daily Times","2019-08-22"
"Multiple robberies at Invercargill service station","Stuff.co.nz","2019-08-22"
"Invercargill BP target of two aggravated robberies in one week","TVNZ","2019-08-22"
"He applied for a job - and ended up on trial for a murder that took place 2 decades earlier","Stuff.co.nz","2019-08-22"
"US Man Applied For Job, Ended Up On Trial For 20-Year Old Murder","NDTV News","2019-08-22"
"He applied for a job -- and ended up on trial for a murder that took place 2 decades earlier","Chicago Daily Herald","2019-08-22"
"Witnesses describe scene before, after alleged Delray robbery turned fatal in 1998","Palm Beach Post","2019-08-22"
"He applied for a job — and ended up on trial for a killing that took place 20 years earlier","The Washington Post","2019-08-22"
"Manurewa teen Chloe Mears missing for four days found","New Zealand Herald","2019-08-22"
"Missing south Auckland teenager found safe and well","Stuff.co.nz","2019-08-22"
"Auckland teenager missing since Sunday","RNZ","2019-08-22"
"Man charged with arson after two fires in Central Otago","Stuff.co.nz","2019-08-22"
"Ihumatao: London street artists show solidarity with protesters","Stuff.co.nz","2019-08-22"
"SH2, near Bethlehem, closed following crash - The Bay's News First","SunLive","2019-08-22"
"Cardinal George Pell's appeal dismissed","Newshub","2019-08-22"
"George Pell appeal fails, Cardinal to serve out full jail term","Stuff.co.nz","2019-08-22"
"Vatican responds after George Pell's appeal denied","New Zealand Herald","2019-08-22"
"Pell loses appeal, remains in jail","Otago Daily Times","2019-08-22"
"Vatican 'acknowledges' Cardinal George Pell has lost his appeal","Stuff.co.nz","2019-08-22"
"Simple, cheap test saving lives in NZ. So, why are some babies not getting it?","New Zealand Herald","2019-08-22"
"'Lazy little bugger': Mum fined over wagging son speaks","Otago Daily Times","2019-08-22"
